title,author,narrator,year_published,genre,engagement,age_min,age_max,listening_hours,series_name,series_order,description,listened
Percy Jackson and the Lightning Thief,Rick Riordan,Jesse Bernstein,2005,Fantasy,5,9,12,10,Percy Jackson,1,"Greek gods are real and Percy is one of their kids. Non-stop action from monster attacks to a cross-country quest.",
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Jim Dale,1997,Fantasy,5,8,12,8.5,Harry Potter,1,"An orphaned boy discovers he's a wizard and enters a magical school full of secrets and danger.",
The Lion the Witch and the Wardrobe,C.S. Lewis,Kenneth Branagh,1950,Fantasy,4,8,12,4.5,The Chronicles of Narnia,1,"Four siblings find a magical world through a wardrobe and must defeat a witch who cursed it into eternal winter.",
The Land of Stories: The Wishing Spell,Chris Colfer,Chris Colfer,2012,Fantasy,5,8,12,9,The Land of Stories,1,"Twins fall into a book of fairy tales and must collect magical items to find their way home.",
Wings of Fire: The Dragonet Prophecy,Tui T. Sutherland,Shannon McManus,2012,Fantasy,5,8,12,8.5,Wings of Fire,1,"Five young dragons raised in captivity escape to fulfill a prophecy and end a brutal war.",
Fablehaven,Brandon Mull,E.B. Stevens,2006,Fantasy,5,9,12,10,Fablehaven,1,"Kendra and Seth discover their grandparents' estate is a secret preserve for magical creatures — some very dangerous.",
Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,Gemma Whelan,2017,Fantasy,5,9,12,11,Nevermoor,1,"A cursed girl is rescued and brought to a magical city where she must pass deadly trials to earn her place.",
The Girl Who Drank the Moon,Kelly Barnhill,Christina Moore,2016,Fantasy,4,9,12,9,,,"A witch accidentally feeds a baby moonlight and must raise the most magically powerful child in the world.",
Tuck Everlasting,Natalie Babbitt,Peter Thomas,1975,Fantasy,3,9,12,3,,,"A girl discovers a family who drank from a spring granting immortality and must decide if eternal life is a gift or curse.",
The Phantom Tollbooth,Norton Juster,Milo Ventimiglia,1961,Fantasy,4,8,12,5,,,"Bored Milo drives through a magical tollbooth into a land where words and numbers are at war.",
The Hobbit,J.R.R. Tolkien,Rob Inglis,1937,Fantasy,4,9,12,11,,,"Bilbo Baggins is recruited by a wizard and thirteen dwarves for a dangerous quest to reclaim treasure from a dragon.",
Ella Enchanted,Gail Carson Levine,Eden Riegel,1997,Fantasy,4,8,12,5.5,,,"Ella is cursed with obedience — she must do whatever she's told. She sets off to break the curse.",
Dragon Rider,Cornelia Funke,Brendan Fraser,2004,Fantasy,4,8,12,10,Dragon Rider,1,"A young dragon a boy and a brownie travel the world searching for a legendary safe haven for dragonkind.",
The School for Good and Evil,Soman Chainani,Polly Lee,2013,Fantasy,5,9,12,14,The School for Good and Evil,1,"Best friends are kidnapped to a school where students train to become fairy tale heroes and villains — but they're in the wrong schools.",
Keeper of the Lost Cities,Shannon Messenger,Caitlin Kelly,2012,Fantasy,5,10,12,13,Keeper of the Lost Cities,1,"Sophie discovers she's an elf hidden in the human world and must navigate a magical civilization where she has extraordinary abilities.",
Artemis Fowl,Eoin Colfer,Nathaniel Parker,2001,Fantasy,5,9,12,7,Artemis Fowl,1,"A twelve-year-old criminal mastermind kidnaps a fairy and holds her for ransom — but the fairy world fights back.",
Charlie and the Chocolate Factory,Roald Dahl,Douglas Hodge,1964,Fantasy,5,7,10,3,,,"Poor Charlie wins a golden ticket to tour Willy Wonka's magical and dangerous chocolate factory.",
Matilda,Roald Dahl,Kate Winslet,1988,Fantasy,5,7,10,4,,,"A brilliant girl with awful parents discovers she has telekinetic powers and uses them against a tyrannical headmistress.",
James and the Giant Peach,Roald Dahl,Jeremy Irons,1961,Fantasy,4,7,10,2.5,,,"Orphaned James escapes his horrible aunts inside a magically giant peach that rolls into the ocean.",
The BFG,Roald Dahl,David Walliams,1982,Fantasy,4,7,10,4,,,"Sophie is snatched by a Big Friendly Giant who catches dreams — together they must stop the man-eating giants.",
The Witches,Roald Dahl,Miranda Richardson,1983,Fantasy,5,8,11,3.5,,,"A boy discovers that real witches look like ordinary women and are planning to turn all children into mice.",
Coraline,Neil Gaiman,Neil Gaiman,2002,Fantasy,5,9,12,3.5,,,"Coraline finds a door to a mirror world where everything seems better — but the Other Mother has buttons for eyes.",
The Graveyard Book,Neil Gaiman,Neil Gaiman,2008,Fantasy,4,9,12,7.5,,,"A boy raised by ghosts in a graveyard must eventually face the living man who killed his family.",
Gregor the Overlander,Suzanne Collins,Paul Boehmer,2003,Fantasy,5,8,12,7,The Underland Chronicles,1,"Gregor falls through a laundry room grate into a vast underground world of giant creatures and an ancient prophecy.",
The Spiderwick Chronicles: The Field Guide,Holly Black,Mark Hamill,2003,Fantasy,5,7,10,2,The Spiderwick Chronicles,1,"Three kids find a field guide to faeries — and suddenly the invisible magical world becomes visible and dangerous.",
Dealing with Dragons,Patricia C. Wrede,Full Cast Audio,1990,Fantasy,4,9,12,6,Enchanted Forest Chronicles,1,"Princess Cimorene is bored by princess lessons and volunteers to be a dragon's captive — then finds she likes it.",
Half Magic,Edward Eager,Full Cast Audio,1954,Fantasy,4,8,11,4.5,Tales of Magic,1,"Four children find a magic coin that grants exactly half of any wish — leading to hilarious and dangerous mishaps.",
Howl's Moving Castle,Diana Wynne Jones,Jenny Sterlin,1986,Fantasy,4,9,12,9,Howl's Moving Castle,1,"Sophie is turned into an old woman by a curse and moves into a wizard's walking castle to break it.",
Redwall,Brian Jacques,Brian Jacques,1986,Fantasy,4,9,12,11,Redwall,1,"Matthias the mouse must find Martin the Warrior's legendary sword to defend Redwall Abbey from an evil rat warlord.",
The Neverending Story,Michael Ende,Gerard Doyle,1979,Fantasy,4,9,12,10,,,"A boy reading a book about a magical land realizes the story is about him — and he must save both worlds.",
Amari and the Night Brothers,B.B. Alston,Imani Parks,2021,Fantasy,5,9,12,11,Supernatural Investigations,1,"Amari tries out for a secret supernatural agency and discovers she has forbidden magic in a world of dangerous creatures.",
Aru Shah and the End of Time,Roshani Chokshi,Soneela Nankani,2018,Fantasy,5,9,12,11,Pandava,1,"Aru accidentally awakens the Sleeper and must prove she's a reincarnated Pandava warrior from Hindu mythology.",
Tristan Strong Punches a Hole in the Sky,Kwame Mbalia,Amir Abdullah,2019,Fantasy,4,9,12,10,Tristan Strong,1,"Tristan opens a portal to a world where African American folk heroes battle a terrifying iron monster.",
Pages & Co.: Tilly and the Bookwanderers,Anna James,Aysha Kala,2018,Fantasy,4,8,12,7,Pages & Co.,1,"Tilly discovers she can walk into her favorite books — but someone is stealing characters from their stories.",
A Tale Dark and Grimm,Adam Gidwitz,Johnny Heller,2010,Fantasy,5,9,12,5.5,A Tale Dark and Grimm,1,"Hansel and Gretel walk out of their story into other Grimm tales — each more twisted than the last.",
Skandar and the Unicorn Thief,A.F. Steadman,David Dawson,2022,Fantasy,5,9,12,10,Skandar,1,"In a world where unicorns are wild and dangerous Skandar is chosen to bond with one and train at an elite school.",
Dragon Masters: Rise of the Earth Dragon,Tracey West,Sura Siu,2014,Fantasy,4,6,9,1,Dragon Masters,1,"Drake is chosen by a magical dragon stone and sent to train with a real dragon beneath the king's castle.",
The Worst Witch,Jill Murphy,Gemma Arterton,1974,Fantasy,3,7,10,2,The Worst Witch,1,"Mildred Hubble is the worst student at Miss Cackle's Academy for Witches — broomstick crashes and potion disasters.",
Tuesdays at the Castle,Jessica Day George,Jill Shellabarger,2011,Fantasy,4,8,12,8,Castle Glower,1,"Castle Glower grows new rooms on Tuesdays. When the king vanishes Princess Celie uses the castle's magic to save her family.",
The Miraculous Journey of Edward Tulane,Kate DiCamillo,Judith Ivey,2006,Fantasy,3,7,11,3,,,"An arrogant china rabbit is lost and passes from owner to owner slowly learning to love and be loved.",
Odd and the Frost Giants,Neil Gaiman,Neil Gaiman,2008,Fantasy,4,7,10,1.5,,,"A disabled Viking boy must outwit frost giants who have stolen Asgard from the Norse gods.",
Paola Santiago and the River of Tears,Tehlor Kay Mejia,Almarie Guerra,2020,Fantasy,4,9,12,9,Paola Santiago,1,"Paola discovers the monsters from Mexican folklore are terrifyingly real when her friend vanishes near the river.",
Inkheart,Cornelia Funke,Brendan Fraser,2003,Fantasy,4,10,12,15,Inkheart,1,"Meggie's father can read characters out of books into the real world — and accidentally read real people into books.",
Eragon,Christopher Paolini,Gerard Doyle,2003,Fantasy,4,10,12,16,The Inheritance Cycle,1,"A farm boy finds a dragon egg and becomes the last Dragon Rider hunted by an evil king.",
The Alcatraz Series: Alcatraz vs. the Evil Librarians,Brandon Sanderson,Ramon De Ocampo,2007,Fantasy,5,9,12,6.5,Alcatraz,1,"Alcatraz discovers his family has magical talents disguised as flaws — and that evil librarians secretly rule the world.",
The Book of Three,Lloyd Alexander,James Langton,1964,Fantasy,4,9,12,5,The Chronicles of Prydain,1,"Taran the pig-keeper joins a quest to stop the Horned King from using a magical cauldron to raise an army of the dead.",
The Thief of Always,Clive Barker,Chris Patton,1992,Fantasy,5,9,12,4,,,"A bored boy visits a magical holiday house where every day brings a new season — but the house has a terrible price.",
Savvy,Ingrid Law,Katherine Kellgren,2008,Fantasy,4,9,12,7,,,"On her thirteenth birthday Mibs expects to get her family's magical power — her savvy — but what arrives is not what anyone predicted.",
Magic Tree House: Dinosaurs Before Dark,Mary Pope Osborne,Mary Pope Osborne,1992,Fantasy,4,6,9,1,Magic Tree House,1,"Jack and Annie find a treehouse full of books that transports them through time. First stop: the age of dinosaurs.",
The Borrowers,Mary Norton,Samantha Bond,1952,Fantasy,3,7,10,4.5,The Borrowers,1,"Tiny people living under the floorboards borrow from the human family above — until they're discovered.",
The Mouse and the Motorcycle,Beverly Cleary,B.D. Wong,1965,Fantasy,4,7,10,2,Ralph Mouse,1,"A young mouse discovers he can ride a toy motorcycle and befriends the boy who owns it at a rundown hotel.",
Fortunately the Milk,Neil Gaiman,Neil Gaiman,2013,Humor,4,7,10,1.5,,,"Dad goes out for milk and gets abducted by aliens then rescued by a time-traveling stegosaurus in a hot-air balloon.",
Hatchet,Gary Paulsen,Peter Coyote,1987,Adventure,4,9,12,4,Brian's Saga,1,"Thirteen-year-old Brian survives a plane crash in the Canadian wilderness with nothing but a hatchet.",
My Side of the Mountain,Jean Craighead George,Michael Crouch,1959,Adventure,3,8,12,5,My Side of the Mountain,1,"Sam runs away from his crowded New York apartment to live alone in the Catskill Mountains.",
Island of the Blue Dolphins,Scott O'Dell,Tantoo Cardinal,1960,Adventure,3,9,12,4,,,"A girl is stranded alone on an island for years and must learn to survive and make peace with wild dogs.",
Treasure Island,Robert Louis Stevenson,Alfred Molina,1883,Adventure,4,9,12,7,,,"Jim Hawkins finds a pirate's treasure map and sets sail — but half the crew are mutinous pirates led by Long John Silver.",
Holes,Louis Sachar,Kerry Beyer,1998,Adventure,5,9,12,4.5,,,"Stanley is sent to a camp where boys dig holes all day in a dry lakebed — the warden is searching for something buried long ago.",
The City of Ember,Jeanne DuPrau,Wendy Dillon,2003,Adventure,5,9,12,7,The Books of Ember,1,"Two kids race to find a way out of their underground city before the lights go out forever.",
Stormbreaker,Anthony Horowitz,Oliver Chris,2000,Adventure,5,9,12,5.5,Alex Rider,1,"After his uncle's suspicious death fourteen-year-old Alex is recruited by MI6 as a teenage spy.",
Peak,Roland Smith,Ramon De Ocampo,2007,Adventure,4,10,12,7,,,"A teen climber is sent to Mount Everest by his absent father for the chance to be the youngest to summit.",
The Cay,Theodore Taylor,LeVar Burton,1969,Adventure,4,9,12,3.5,,,"A blind boy and an elderly West Indian man are stranded on a tiny Caribbean island during World War II.",
Julie of the Wolves,Jean Craighead George,Christina Moore,1972,Adventure,3,9,12,4,,,"A thirteen-year-old Inuit girl lost on the Alaskan tundra is adopted by a wolf pack.",
Abel's Island,William Steig,Peter Thomas,1976,Adventure,3,7,10,2.5,,,"A gentlemanly mouse is swept away by a storm and stranded on a river island where he must learn to survive.",
Where the Mountain Meets the Moon,Grace Lin,Janet Song,2009,Adventure,4,8,12,7,,,"Minli sets off to find the Old Man of the Moon and change her family's fortune meeting magical creatures along the way.",
Call of the Wild,Jack London,Jeff Daniels,1903,Adventure,4,10,12,3.5,,,"A domesticated dog is stolen and sold into the brutal life of an Alaskan sled dog during the gold rush.",
The Swiss Family Robinson,Johann David Wyss,Michael Page,1812,Adventure,3,9,12,12,,,"A shipwrecked family builds an elaborate life on a tropical island using their wits and whatever they salvaged.",
The One and Only Ivan,Katherine Applegate,Adam Grupper,2012,Animal Stories,3,8,11,3.5,,,"A silverback gorilla living in a mall reimagines his life and fights for freedom through the power of art.",
Charlotte's Web,E.B. White,Meryl Streep,1952,Animal Stories,3,7,10,3.5,,,"A pig named Wilbur is saved from slaughter by a clever spider who weaves words into her web.",
The Cricket in Times Square,George Selden,Tony Shalhoub,1960,Animal Stories,3,7,10,3,,,"A cricket from Connecticut ends up in a Times Square subway station and befriends a boy a cat and a mouse.",
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,Barbara Caruso,1971,Animal Stories,4,8,12,5,,,"A field mouse seeks help from super-intelligent rats who escaped a laboratory to save her sick son.",
The Trumpet of the Swan,E.B. White,Meryl Streep,1970,Animal Stories,3,7,10,4.5,,,"A trumpeter swan born without a voice learns to play a trumpet to win the heart of his beloved.",
Stuart Little,E.B. White,Julie Harris,1945,Animal Stories,3,7,10,2.5,,,"A mouse-sized boy born to a human family in New York has adventures while searching for his lost bird friend.",
The Wild Robot,Peter Brown,Kate Atwater,2016,Animal Stories,4,8,12,3.5,The Wild Robot,1,"A robot washes ashore on a wild island and must learn from animals to survive — then accidentally adopts a baby goose.",
Warriors: Into the Wild,Erin Hunter,MacLeod Andrews,2003,Animal Stories,5,8,12,8,Warriors,1,"A house cat joins a clan of wild cats in the forest and discovers territory wars prophecies and dangerous secrets.",
The Tale of Despereaux,Kate DiCamillo,Graeme Malcolm,2003,Animal Stories,4,7,10,3.5,,,"A tiny mouse falls in love with a human princess and descends into the dungeon to save her.",
Pax,Sara Pennypacker,Michael Curran-Dorsano,2016,Animal Stories,3,9,12,5,,,"A boy and his pet fox are separated when the boy's father leaves for war — both journey to find each other again.",
Because of Winn-Dixie,Kate DiCamillo,Cherry Jones,2000,Animal Stories,3,7,10,3.5,,,"A lonely girl adopts a scruffy dog and the two of them make friends all over their small Florida town.",
The Incredible Journey,Sheila Burnford,Megan Follows,1961,Animal Stories,3,8,12,4,,,"Two dogs and a cat travel 300 miles across the Canadian wilderness to find their family.",
Shiloh,Phyllis Reynolds Naylor,Peter MacNicol,1991,Animal Stories,3,8,11,3,,,"Marty finds an abused beagle and hides it from its cruel owner determined to save the dog no matter the cost.",
Black Beauty,Anna Sewell,Wanda McCaddon,1877,Animal Stories,3,8,12,6,,,"A horse tells his own story from a life of kindness through years of cruelty and back to peace.",
Where the Red Fern Grows,Wilson Rawls,Anthony Heald,1961,Animal Stories,3,9,12,6,,,"A boy in the Ozarks saves up to buy two coonhounds and trains them into champion hunters — a story of devotion and heartbreaking loss.",
Watership Down,Richard Adams,Ralph Cosham,1972,Animal Stories,4,10,12,16,,,"A group of rabbits flee their doomed warren and journey across the English countryside facing predators and tyranny.",
Poppy,Avi,uncredited,1995,Animal Stories,3,7,10,3,Poppy,1,"A deer mouse must face the terrifying owl Mr. Ocax who claims to protect the mice but has his own agenda.",
Bunnicula: A Rabbit-Tale of Mystery,Deborah Howe,Victor Garber,1979,Humor,4,7,10,2,Bunnicula,1,"The Monroe family finds a bunny at a Dracula movie. Harold the dog narrates as Chester the cat becomes convinced the rabbit is a vampire.",
Beezus and Ramona,Beverly Cleary,Stockard Channing,1955,Realistic Fiction,3,7,10,2,Ramona,1,"Nine-year-old Beezus tries to be patient with her exasperating little sister Ramona who has a genius for chaos.",
Henry Huggins,Beverly Cleary,Neil Patrick Harris,1950,Realistic Fiction,3,7,10,3,Henry Huggins,1,"Henry's ordinary life gets interesting when he adopts a stray dog named Ribsy on the bus ride home.",
Wonder,R.J. Palacio,Diana Steele,2012,Realistic Fiction,4,8,12,8,,,"Auggie was born with severe facial differences and attends school for the first time in fifth grade.",
Frindle,Andrew Clements,Keith Nobbs,1996,Realistic Fiction,4,8,11,2,,,"Nick invents a new word for pen — frindle — and it takes on a life of its own spreading far beyond his classroom.",
Bridge to Terabithia,Katherine Paterson,Robert Sean Leonard,1977,Realistic Fiction,3,9,12,3.5,,,"Jess and Leslie create an imaginary kingdom in the woods — until a tragedy forces Jess to find meaning in loss.",
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Jan Miner,1967,Realistic Fiction,4,8,12,3.5,,,"Claudia and her brother run away from home and hide in the Metropolitan Museum of Art where they solve an art mystery.",
Dear Mr. Henshaw,Beverly Cleary,Neil Patrick Harris,1983,Realistic Fiction,3,8,11,2,,,"Leigh writes letters to his favorite author and works through his parents' divorce and loneliness.",
Maniac Magee,Jerry Spinelli,S. Epatha Merkerson,1990,Realistic Fiction,4,9,12,3,,,"A homeless orphan becomes a legend in a racially divided town — untying knots and outrunning dogs.",
Walk Two Moons,Sharon Creech,Kate Harper,1994,Realistic Fiction,4,10,12,6.5,,,"Sal takes a road trip with her grandparents retracing her mother's route and uncovering truths she wasn't ready for.",
The Penderwicks,Jeanne Birdsall,Susan Denaker,2005,Realistic Fiction,3,8,12,7,The Penderwicks,1,"Four sisters and their father rent a cottage next to a grand estate for the summer — adventures and crushes follow.",
Clementine,Sara Pennypacker,Jessica Almasy,2006,Realistic Fiction,3,7,10,2,Clementine,1,"Clementine means well but her big ideas keep landing her in the principal's office.",
Ivy + Bean,Annie Barrows,Cassandra Morris,2006,Realistic Fiction,4,6,9,1,Ivy + Bean,1,"Ivy is quiet and Bean is wild. Together they're unstoppable.",
The Lemonade War,Jacqueline Davies,Stina Nielsen,2007,Realistic Fiction,4,8,11,3,The Lemonade War,1,"Brother and sister compete in a lemonade war — whoever earns more money in the last week of summer wins.",
The Vanderbeekers of 141st Street,Karina Yan Glaser,Ellen Grafton,2017,Realistic Fiction,3,8,12,7,The Vanderbeekers,1,"Five siblings have eleven days to change their grumpy landlord's mind before he kicks them out of their brownstone.",
A Long Walk to Water,Linda Sue Park,David Baker,2010,Realistic Fiction,4,9,12,2,,,"Two stories set in Sudan: a boy in 1985 walks for survival in civil war and a girl in 2008 walks hours for water.",
Out of My Mind,Sharon M. Draper,Sisi Aisha Johnson,2010,Realistic Fiction,4,9,12,6,,,"Melody has cerebral palsy and a photographic memory but everyone assumes she can't think — until she gets a device that lets her speak.",
The Crossover,Kwame Alexander,Corey Allen,2014,Realistic Fiction,4,9,12,1.5,,,"Twin brothers and basketball stars navigate rivalry and their father's failing health — told in verse.",
Restart,Gordon Korman,Jonathan Todd Ross,2017,Realistic Fiction,4,9,12,5,,,"The biggest bully in school falls off a roof loses his memories and gets a second chance.",
Ghost,Jason Reynolds,Guy Lockard,2016,Realistic Fiction,4,9,12,3.5,Track,1,"A kid who can run fast enough to escape anything joins a track team but can't outrun his past.",
Counting by 7s,Holly Goldberg Sloan,Tavia Gilbert,2013,Realistic Fiction,3,9,12,8,,,"Twelve-year-old genius Willow loses her parents and rebuilds her life with an unlikely new family.",
Love That Dog,Sharon Creech,Scott Brick,2001,Realistic Fiction,3,8,11,1,,,"Jack hates poetry until his teacher helps him write about the dog he loved and lost. Told entirely in poems.",
Front Desk,Kelly Yang,Mimi Chang,2018,Realistic Fiction,4,9,12,7,,,"Mia Tang works her family's motel front desk juggles school and secretly helps immigrants.",
Merci Suarez Changes Gears,Meg Medina,Frankie Corzo,2018,Realistic Fiction,3,9,12,7,,,"Merci navigates sixth grade at a private school while her grandfather's memory slips away.",
